time,angular_velocity
0.28400000000000003,-1.3996613954814499
0.28600000000000003,-1.3090093805289098
0.28800000000000003,-1.2263898207253363
0.29000000000000004,-1.1477864878742323
0.29200000000000004,-1.0611506957977015
0.29400000000000004,-0.978531130691012
0.29600000000000004,-0.8913215878463404
0.29800000000000004,-0.7943583438537309
0.30000000000000004,-0.7042800617950529
0.30200000000000005,-0.6164967658453903
0.30400000000000005,-0.525844732705308
0.30600000000000005,-0.4328977092561316
0.30800000000000005,-0.34798314275032033
0.31000000000000005,-0.2475774030333451
0.31200000000000006,-0.15290913189330022
0.31400000000000006,-0.061683341273585685
0.31599999999999995,0.022083738681710492
0.31800000000000006,0.11216203887663538
0.31999999999999995,0.2068303182468236
0.32200000000000006,0.2997773582506026
0.32399999999999995,0.3789544680155979
0.32599999999999996,0.4655902927106806
0.32799999999999996,0.5637010631957967
0.32999999999999996,0.6543531221262862
0.33199999999999996,0.7346777328936824
0.33399999999999996,0.8121336089679797
0.33599999999999997,0.8999169368448549
0.3380000000000001,0.9928639918014824
0.33999999999999997,1.0777785869260672
0.34199999999999997,1.1558082163074228
0.344,1.23326409976008
0.346,1.3130149737458958
0.348,1.3927658491381485
0.35,1.4673530000514463
0.352,1.5390714155389045
0.354,1.6125110741581226
0.356,1.683081997212834
0.358,1.7593903948937517
0.36,1.8328300569979636
0.362,1.907990962372885
0.364,1.9688081843927192
0.366,2.026756670251068
0.368,2.0956063573364103
0.37,2.1656035402224827
0.372,2.214372069885139
0.374,2.266009337123996
0.376,2.3279740585370847
0.378,2.3916600230338347
0.38,2.4404285549662434
0.382,2.4777221385357726
0.384,2.5184582070653976
0.386,2.563784255542699
0.388,2.6027990824123037
0.39,2.6418139095882696
0.392,2.68771370665686
0.394,2.7330397566755056
0.396,2.7640221202150266
0.39800000000000013,2.792135746554917
0.4,2.8150856457241322
0.402,2.8431992723485155
0.404,2.863280434318704
0.406,2.8862303338105924
0.40800000000000003,2.898279031085361
0.41000000000000003,2.9045902534787817
0.41200000000000003,2.9223764257205462
0.41400000000000003,2.9332776280929784
0.41600000000000004,2.9355726180690938
0.41800000000000004,2.9441788304887253
0.42000000000000004,2.958522517887032
0.42200000000000004,2.955653780404145
0.42400000000000004,2.9459000729743927
0.42600000000000005,2.9407363455191318
0.42800000000000005,2.9240976681988524
0.43000000000000005,2.908032738423948
0.43200000000000005,2.9000002735555195
0.43400000000000005,2.8868040812992186
0.43599999999999994,2.8690179091819417
0.43800000000000006,2.8483629997046727
0.43999999999999995,2.830576827722314
0.44200000000000006,2.795004483945359
0.44399999999999995,2.761727130316661
0.44599999999999995,2.72844977690813
0.44799999999999995,2.7014836458596525
0.44999999999999996,2.6647638080698113
0.45199999999999996,2.6211590010452386
0.45399999999999996,2.576980446949546
0.45599999999999996,2.543129347324306
0.4580000000000001,2.501245783701949
0.45999999999999996,2.4438710395915715
0.46199999999999997,2.385922548720789
0.46399999999999997,2.3365802699069453
0.46599999999999997,2.294696708050251
0.46799999999999997,2.240190703435623
0.47,2.1833897098069417
0.472,2.1128187792627995
0.474,2.0520015554002984
0.476,1.9894630901620989
0.478,1.919465909863893
0.48,1.8500424779701377
0.482,1.7869302680477406
0.484,1.7111956172654823
0.486,1.6360347150568135
0.488,1.5746437500363761
0.49,1.4989091027276444
0.492,1.412847005033186
0.494,1.3353911184985152
0.496,1.2590827278744336
0.498,1.1793318548441591
0.5,1.1064659505105308
0.502,1.0278625747302312
0.5039999999999999,0.9406529915537876
0.506,0.8586071352720233
0.508,0.7777087749872585
0.51,0.6882042079110887
0.512,0.6044371147578063
0.5139999999999999,0.5126375624874673
0.516,0.4214117593677661
0.518,0.3261697280077454
0.5199999999999999,0.2492876078705633
0.522,0.15806181042509682
0.5239999999999999,0.06339353215958245
0.526,-0.020947295753707518
0.528,-0.10069814505652652
0.53,-0.1833177283164128
0.532,-0.2601998390196264
0.534,-0.3497043839809719
0.536,-0.4323239621911368
0.538,-0.5183860210264046
0.54,-0.6050218250552984
0.542,-0.6910838801748455
0.5439999999999999,-0.7691134752035601
0.5459999999999999,-0.8482905627009869
0.548,-0.9377950944727717
0.5499999999999999,-1.023857142320988
0.5519999999999999,-1.1007392367884912
0.5539999999999999,-1.1718838601596269
0.5559999999999999,-1.2481922047352791
0.558,-1.3267955355311911
0.5599999999999999,-1.3985139016347687
0.5619999999999999,-1.4719535071235357
0.564,-1.5442456173858068
0.566,-1.610226510463488
0.568,-1.6790761367873974
0.57,-1.7421882931383852
0.572,-1.807595435865812
0.574,-1.87242883059071
0.576,-1.9355409836568493
0.578,-1.998653135642916
0.58,-2.0531590842132648
0.582,-2.112255006483699
0.584,-2.170203434189025
0.586,-2.2241356334026787
0.588,-2.275199097876824
0.59,-2.3239675745107937
0.592,-2.3721623037132797
0.594,-2.420930779034957
0.596,-2.467404266666045
0.598,-2.5155989939424743
0.6,-2.5488763052537533
0.602,-2.585022349946672
0.604,-2.6194471540746016
0.606,-2.6492819840488013
0.608,-2.6808380539405112
0.61,-2.710099136679528
0.6119999999999999,-2.7319015118961367
0.614,-2.7410814593154647
0.616,-2.7496876599993825
0.618,-2.7835387158188287
0.62,-2.812799797705425
0.6219999999999999,-2.8300121987013545
0.6239999999999999,-2.82829095860556
0.626,-2.82829095860556
0.628,-2.838618399167668
0.63,-2.83747090577338
0.6319999999999999,-2.839192145864672
0.6339999999999999,-2.8420608793482827
0.636,-2.843782119437322
0.638,-2.846077106221395
0.64,-2.828864705304252
0.6419999999999999,-2.819684758113921
0.6439999999999999,-2.803619850473106
0.646,-2.78009623558087
0.648,-2.7634575810499404
0.65,-2.739933965889356
0.6519999999999999,-2.7083778965251155
0.654,-2.6756743334320237
0.656,-2.6532982111415424
0.658,-2.611988446541857
0.66,-2.5810061227766967
0.662,-2.5465813182767385
0.664,-2.503550312184291
0.666,-2.466256773151548
0.668,-2.426094499912602
0.67,-2.3824897456013256
0.6719999999999999,-2.3411799778713824
0.6739999999999999,-2.29126400789953
0.6759999999999999,-2.2315943417415216
0.678,-2.1713509277976457
0.68,-2.1139762469238583
0.6819999999999999,-2.0640602738300977
0.6839999999999999,-2.0135705532268404
0.6859999999999999,-1.9567696167183581
0.688,-1.8907887297756671
0.6900000000000001,-1.8271028290880775
0.692,-1.7576794586250448
0.694,-1.6888298337476355
0.696,-1.6211277013823011
0.698,-1.5534255677962745
0.7000000000000001,-1.484575939173682
0.702,-1.4036776239421107
0.704,-1.323353053924307
0.706,-1.2567984089156428
0.708,-1.1896700157974758
0.7100000000000001,-1.1122141761304751
0.712,-1.0175459255433739
0.714,-0.9475487933242792
0.716,-0.868945454829624
0.718,-0.7897683677475318
0.72,-0.708870038000484
0.7219999999999999,-0.6354304180768201
0.724,-0.5516633499481545
0.726,-0.4627325565232961
0.728,-0.3703592786917486
0.73,-0.2762647574910794
0.7319999999999999,-0.2022513825790378
0.734,-0.1230742823534941
0.736,-0.041602192123831684
0.738,0.04732861242494057
0.74,0.133964430299299
0.7419999999999999,0.2183052613460871
0.744,0.2974823695838573
0.746,0.38411819261685604
0.748,0.450672865816442
0.75,0.5252600008082482
0.7519999999999999,0.6050108619656581
0.7539999999999999,0.6916466912260594
0.756,0.7668075776166672
0.758,0.8339360039627449
0.76,0.9165556070325332
0.7619999999999999,0.9980277171342284
0.7639999999999999,1.0628611579352223
0.766,1.1311370833408272
0.768,1.2114617028011565
0.77,1.2912125764011213
0.7719999999999999,1.3606359998905837
0.7739999999999999,1.4294856771275928
0.776,1.4891553982408623
0.778,1.5465301308139656
0.78,1.6130848214956912
0.782,1.6859507339451056
0.784,1.745046711023721
0.786,1.8127488992769032
0.788,1.8678286463743012
0.79,1.9269246257480057
0.792,1.9774143951190275
0.794,2.0279041650276746
0.796,2.0835576620247878
0.798,2.1254412220481425
0.8,2.1661772876274066
0.8019999999999999,2.2109295854221735
0.8039999999999999,2.2568293784634603
0.8059999999999999,2.299860434834995
0.808,2.3486289658503035
0.81,2.3951025076248933
0.8119999999999999,2.4214948895701296
0.814,2.4461660293431304
0.816,2.4805908757451443
0.818,2.5127207326042424
0.8200000000000001,2.5408343575275847
0.822,2.5706692249679737
0.824,2.583291668939148
0.826,2.5993565976761768
0.828,2.62460148579646
0.8300000000000001,2.648125131660163
0.832,2.6515676164300217
0.834,2.6601738283650564
0.836,2.6653375555332035
0.838,2.6756650098855164
0.8400000000000001,2.68771370665686
0.8419999999999999,2.6854187167934134
0.844,2.675091262420938
0.846,2.6670587979237736
0.848,2.6601738283650564
0.85,2.6590263334395288
0.8519999999999999,2.652141363891895
0.854,2.6383714248251477
0.856,2.6194377586705206
0.858,2.6005040925879555
0.86,2.583291668939148
0.8619999999999999,2.5649317504462457
0.864,2.5408343575275847
0.866,2.501245783701949
0.868,2.471410916681042
0.87,2.4375598177803166
0.872,2.4082986985797263
0.874,2.3807588218448066
0.876,2.341743996736165
0.878,2.299286687414195
0.88,2.250518156894441
0.882,2.2074871009616643
0.884,2.1696197720583865
0.886,2.1225724850485537
0.888,2.0726564615309266
0.89,2.0181504594353354
0.892,1.9642182053450812
0.894,1.9160234256136612
0.896,1.847173741137059
0.898,1.7811927944606083
0.9,1.7180805854675583
0.902,1.6612795981055386
0.9039999999999999,1.6039048641031597
0.9059999999999999,1.5453826361554757
0.908,1.4794016937748595
0.91,1.4111257630958542
0.9119999999999999,1.3394073496196663
0.9139999999999999,1.2636727062213722
0.9159999999999999,1.190806800516663
0.918,1.1196621378213958
0.92,1.0439274981343292
0.9219999999999999,0.9790940576103028
0.9239999999999999,0.9050806620687764
0.9259999999999999,0.8339360039627449
0.9279999999999999,0.7547588858177522
0.9299999999999999,0.6790242524178677
0.9319999999999999,0.6073058507978262
0.9339999999999999,0.5183750344468492
0.9359999999999999,0.43231295586437896
0.938,0.3519883507555441
0.94,0.2796962074588779
0.942,0.2016665938623841
0.944,0.1219157402884926
0.946,0.041591141106186384
0.948,-0.03299598531548548
0.95,-0.1161893170443146
0.952,-0.19135018771125265
0.954,-0.2722485278791552
0.956,-0.3474093956732747
0.958,-0.418554032606771
0.96,-0.4937148976820175
0.962,-0.5746132318019853
0.964,-0.6463316117449932
0.966,-0.7226399665848834
0.968,-0.8041120430616641
0.97,-0.8781254068519209
0.972,-0.9458275523522532
0.974,-1.0192671664837394
0.976,-1.093280526197959
0.978,-1.1615564149128892
0.98,-1.2286848085216842
0.982,-1.2883544907450282
0.984,-1.3485979189693889
0.986,-1.4243325131013391
0.988,-1.4966246242731889
0.99,-1.550556833295404
0.992,-1.610226510463488
0.994,-1.669322439801738
0.996,-1.727270874460775
0.998,-1.7766131052434788
1.0,-1.8357090319476592
1.002,-1.8919362234717008
1.004,-1.938409717861494
1.006,-1.9894731863303985
1.008,-2.0399629072652785
1.01,-2.082420172058752
1.012,-2.129467410848761
1.014,-2.176514649031961
1.016,-2.213808191062045
1.018,-2.2562654538299207
1.02,-2.2901165143288464
1.022,-2.3268363084099293
1.024,-2.363556102117268
1.026,-2.3939646809977067
1.028,-2.419783285505582
1.03,-2.440438168978172
1.0319999999999998,-2.4668305199088425
1.034,-2.4995340849225323
1.036,-2.5184677276884293
1.038,-2.5310901561432426
1.04,-2.5471550650211308
1.0419999999999998,-2.5574825064043964
1.044,-2.565514960792902
1.046,-2.576989895602188
1.048,-2.5821536162542946
1.05,-2.593628551009916
1.052,-2.591333564061754
1.054,-2.5901860705871185
1.056,-2.5810061227766967
1.058,-2.578137389081082
1.06,-2.5672362010166534
1.062,-2.5534662792033505
1.064,-2.55117129222929
1.066,-2.5500237987417065
1.068,-2.5276476756599946
1.07,-2.4989603381704844
1.072,-2.480026695301229
1.074,-2.4570768250223334
1.076,-2.4295369804935705
1.078,-2.3985546551460017
